Antifade,Transcript,Stack_No,Avg_Max,Std_Max,SEM_Max,Avg_Min,Std_Min,SEM_Min,Avg_Mean,Std_Mean,SEM_Mean,Norm_avg_Max,Norm_std_Max,Norm_SEM_Max,Norm_avg_Min,Norm_std_Min,Norm_SEM_Min,Norm_avg_Mean,Norm_std_Mean,Norm_SEM_Mean
n-propyl_only,imb-2,85,496.25,230.4075934,66.51294303,142.5833333,23.92206411,6.905705078,269.9741667,84.75744551,24.46736699,0.821038856,0.067437462,0.019467518,0.926913009,0.040695604,0.011747809,0.866107488,0.059552314,0.017191272
n-propyl_only,imb-2,86,494.9166667,226.9334938,65.51005687,143.5833333,24.77336669,7.151454963,269.8328333,84.59042341,24.41915186,0.820357786,0.068101218,0.019659128,0.932391197,0.03374854,0.009742364,0.865770713,0.059363851,0.017136868
n-propyl_only,imb-2,87,497,227.6101132,65.70538007,143,23.96209127,6.917259923,269.7330833,84.45513011,24.38009605,0.824602147,0.066380856,0.019162502,0.929274475,0.032618885,0.009416261,0.865554058,0.059239669,0.01710102
n-propyl_only,imb-2,88,499,235.8859509,68.09440862,142.75,23.34377472,6.738767309,269.61675,84.31417087,24.33940463,0.824057924,0.070582218,0.020375331,0.92831438,0.037547397,0.010839,0.865287963,0.059011138,0.017035048
n-propyl_only,imb-2,89,495.6666667,224.0914316,64.68962417,143.1666667,24.09765486,6.95639376,269.5275833,84.23848713,24.31755661,0.824019327,0.06248122,0.018036775,0.930104064,0.025855444,0.007463824,0.865045874,0.058838989,0.016985353
n-propyl_only,imb-2,90,494.25,223.7852562,64.60123896,142.9166667,24.16781606,6.976647555,269.4039167,84.07804283,24.27124033,0.822006412,0.060100867,0.017349626,0.928697532,0.031927292,0.009216615,0.864769331,0.058796744,0.016973158
n-propyl_only,imb-2,91,495.6666667,231.0255135,66.6913212,142.9166667,24.41854114,7.049025651,269.2365833,83.92799824,24.22792619,0.820154451,0.069021411,0.019924765,0.928203659,0.038565189,0.011132811,0.864325709,0.058697685,0.016944562
n-propyl_only,imb-2,92,497.75,230.4462568,66.5241042,143,23.53720459,6.794605704,269.12975,83.83031181,24.19972655,0.825489647,0.063231731,0.018253429,0.929697945,0.031257195,0.009023175,0.864056315,0.058562322,0.016905486
n-propyl_only,imb-2,93,494.5,224.6166431,64.84123968,142.9166667,23.78104032,6.864995016,269.0199167,83.69502654,24.16067305,0.82057604,0.068083288,0.019653952,0.928949587,0.035063487,0.010121957,0.863796688,0.058522631,0.016894028
n-propyl_only,imb-2,94,492.3333333,230.3326975,66.49132244,141.6666667,23.65407262,6.828342597,268.9350833,83.60324153,24.134177,0.813563225,0.066629195,0.019234192,0.92075941,0.034369291,0.00992156,0.863591639,0.058331017,0.016838714
n-propyl_only,imb-2,95,496.25,230.6296224,66.57703729,143.4166667,24.51143827,7.075842742,268.7650833,83.45183778,24.0904705,0.821446207,0.068104185,0.019659985,0.931819701,0.03834049,0.011067946,0.863153745,0.058268821,0.01682076
n-propyl_only,imb-2,96,490.8333333,222.352641,64.18767857,142.8333333,24.16922661,6.977054746,268.6716667,83.33620848,24.0570912,0.81513336,0.065755737,0.018982046,0.927908252,0.026372391,0.007613054,0.862944266,0.058121156,0.016778133
n-propyl_only,imb-2,97,495.25,227.9119148,65.79250268,143.0833333,24.40736973,7.045800741,268.56225,83.2138326,24.02176433,0.820172805,0.070015263,0.020211666,0.929397404,0.031572347,0.009114151,0.862691857,0.057949628,0.016728617
n-propyl_only,imb-2,98,497.25,229.236331,66.17482871,143.0833333,24.91242236,7.191596878,268.4399167,83.08874372,23.98565428,0.824436683,0.061496526,0.017752518,0.928961655,0.033991619,0.009812535,0.86238709,0.058003166,0.016744072
n-propyl_only,imb-2,99,492.75,222.1134538,64.11863117,143,23.88989897,6.8964198,268.3325833,82.9503777,23.94571145,0.819945073,0.059667761,0.017224599,0.929531902,0.034867677,0.010065431,0.86214612,0.057764049,0.016675045
n-propyl_only,imb-2,100,491.75,220.1194407,63.54300918,141.5,23.34912885,6.740312914,268.23775,82.81143028,23.90560078,0.818303619,0.061164054,0.017656541,0.920255604,0.039494427,0.011401059,0.861949402,0.05765126,0.016642485
n-propyl_vecta,imb-2,1,845.2857143,206.4425525,55.17409296,169.5714286,26.20837883,7.004483875,360.9978571,68.88494449,18.41027581,1,0,0,1,0,0,1,0,0
n-propyl_vecta,imb-2,2,831.6428571,203.0000406,54.25404296,169.5,27.31511275,7.300270957,355.7022143,70.07645709,18.72872095,0.983651242,0.03225755,0.008621193,0.998954284,0.025370794,0.00678063,0.984193603,0.021826228,0.005833305
n-propyl_vecta,imb-2,3,825.1428571,205.0440317,54.80032256,169.3571429,27.29217172,7.294139709,353.7559286,69.28381432,18.51687826,0.975443321,0.035692761,0.009539292,0.99818585,0.029020462,0.007756045,0.979074232,0.022401871,0.005987152
n-propyl_vecta,imb-2,4,819.7857143,204.1022287,54.54861513,169.7857143,26.86770601,7.180696476,352.1449286,68.46420775,18.29782919,0.969453123,0.042074478,0.011244877,1.001255768,0.02650969,0.007085013,0.974919654,0.022198883,0.005932901
n-propyl_vecta,imb-2,5,816.8571429,204.374414,54.6213597,168.8571429,26.45128219,7.069402529,350.7387143,67.81702242,18.12486163,0.964594838,0.027952295,0.007470565,0.995885758,0.025172975,0.006727761,0.971259781,0.021900502,0.005853155
n-propyl_vecta,imb-2,6,821.5714286,200.6108803,53.615513,168.2142857,25.97981042,6.943396397,349.5315714,67.24812226,17.97281667,0.971464367,0.024351257,0.006508147,0.992638744,0.02580983,0.006897967,0.968129531,0.021765078,0.005816962
n-propyl_vecta,imb-2,7,809.4285714,191.2029587,51.10114021,167.9285714,27.00274711,7.216787728,348.3696429,66.65018168,17.81301033,0.960012661,0.031869894,0.008517587,0.989913484,0.027399407,0.0073228,0.965141266,0.021450712,0.005732944
n-propyl_vecta,imb-2,8,809.7857143,200.9156649,53.69697012,167.7142857,25.12867982,6.715922176,347.2429286,66.18950443,17.68988915,0.957247864,0.029659525,0.007926841,0.990216762,0.024433371,0.006530093,0.962171015,0.021460285,0.005735503
n-propyl_vecta,imb-2,9,802.8571429,200.2009979,53.50596733,168.2142857,25.67902038,6.863006879,346.1785714,65.71615738,17.56338183,0.948751955,0.036955501,0.009876773,0.992836681,0.025017635,0.006686244,0.95939239,0.021377153,0.005713285
n-propyl_vecta,imb-2,10,796.6428571,197.074608,52.67040447,167.5714286,25.21816893,6.739839146,345.1762143,65.34303613,17.46366099,0.941955003,0.030174029,0.008064348,0.989311466,0.025648483,0.006854846,0.956738354,0.021574846,0.00576612
n-propyl_vecta,imb-2,11,790,196.7161172,52.57459379,166.4285714,25.92211496,6.927976637,344.3226429,64.93458066,17.35449667,0.933383561,0.046154631,0.012335344,0.982014989,0.031292996,0.008363405,0.954516071,0.021318898,0.005697715
n-propyl_vecta,imb-2,12,790.1428571,202.039165,53.99723814,167,25.27997079,6.756356388,343.4219286,64.58316749,17.26057755,0.9320438,0.039233373,0.01048556,0.986108695,0.031722388,0.008478165,0.952139723,0.021505984,0.005747716
n-propyl_vecta,imb-2,13,794.2142857,192.3791043,51.41547834,166.7142857,25.00593336,6.683116805,342.5554286,64.28013992,17.17959002,0.940154893,0.035673548,0.009534157,0.984597094,0.032017771,0.008557109,0.949832216,0.02182021,0.005831697
n-propyl_vecta,imb-2,14,779.9285714,189.4702998,50.63806763,166.6428571,24.61583962,6.578859869,341.7278571,63.95642426,17.09307338,0.923775584,0.035115236,0.009384942,0.984290162,0.025632429,0.006850555,0.947652064,0.022036974,0.005889629
n-propyl_vecta,imb-2,15,777.8571429,189.1791406,50.56025207,167.6428571,25.47278229,6.807887429,340.8574286,63.58004762,16.99248249,0.920397122,0.036920348,0.009867378,0.989642612,0.025776582,0.006889081,0.945370997,0.022014463,0.005883613
n-propyl_vecta,imb-2,16,782,182.7280451,48.83612426,166.0714286,25.24179771,6.746154204,340.1043571,63.32585046,16.92454544,0.92756273,0.03864722,0.010328904,0.980398426,0.027831616,0.007438312,0.943343027,0.021975375,0.005873166
n-propyl_vecta,imb-2,17,778,180.9883124,48.37116115,164.5714286,23.81245403,6.364146038,339.2852143,63.03991436,16.8481258,0.923598141,0.032955416,0.008807705,0.972499653,0.028392197,0.007588134,0.941157406,0.0220287,0.005887418
n-propyl_vecta,imb-2,18,777,183.5341092,49.05155395,166.5,25.10209921,6.708818209,338.5707143,62.77611909,16.77762355,0.921648351,0.028883796,0.007719519,0.983030253,0.027474682,0.007342918,0.939257733,0.02215679,0.005921651
n-propyl_vecta,imb-2,19,775.6428571,188.3489426,50.33837231,164.6428571,23.85406639,6.375267409,337.8373571,62.53051391,16.71198281,0.918607079,0.030276414,0.008091712,0.972923203,0.028774057,0.00769019,0.937293926,0.022228294,0.005940761
n-propyl_vecta,imb-2,20,769.2142857,187.8731891,50.21122183,165.2857143,24.71507971,6.605382896,337.1440714,62.27494601,16.64367941,0.910610397,0.037629471,0.010056899,0.976089826,0.026967626,0.007207401,0.935454033,0.022442383,0.005997979
n-propyl_vecta,imb-2,21,763.6428571,188.2353711,50.30801906,165.5714286,23.99587877,6.41316836,336.4722143,62.03429911,16.57936382,0.90342926,0.036469877,0.009746985,0.978301384,0.024244384,0.006479584,0.933670861,0.022772626,0.00608624
n-propyl_vecta,imb-2,22,764.8571429,193.1889697,51.63192397,165.3571429,24.75606264,6.616336046,335.7537143,61.80278534,16.51748916,0.90342489,0.035413816,0.00946474,0.976544232,0.028460607,0.007606417,0.931738698,0.022739501,0.006077387
n-propyl_vecta,imb-2,23,757.0714286,182.8835124,48.87767466,164.7142857,24.16427296,6.458173602,334.9844286,61.53358436,16.44554217,0.896682871,0.032589748,0.008709976,0.972934702,0.023307916,0.006229303,0.929684074,0.022779509,0.00608808
n-propyl_vecta,imb-2,24,753.2857143,176.6854783,47.22118036,164.7857143,23.62260512,6.313406781,334.2991429,61.29391407,16.3814876,0.893657829,0.035423692,0.00946738,0.974239801,0.033108033,0.008848494,0.927856635,0.022776744,0.006087341
n-propyl_vecta,imb-2,25,742,176.5302328,47.17968924,164.1428571,24.53837542,6.558156689,333.5887143,61.04669847,16.31541645,0.880676083,0.047746759,0.012760858,0.969207031,0.024825649,0.006634934,0.925961595,0.023020757,0.006152556
